learning rate,epochs,dimension,bootstrap,testing accuracy,training time
0.2,20.0,5000.0,0.25,0.9161859750747681,5.376006126403809
0.2,20.0,5000.0,0.5,0.9087207317352295,3.3789658546447754
0.2,20.0,7500.0,0.25,0.9202579259872437,4.6690003871917725
0.2,20.0,7500.0,0.5,0.9029521942138672,3.6839988231658936
0.2,20.0,10000.0,0.25,0.9175432920455933,4.8630311489105225
0.2,20.0,10000.0,0.5,0.9077027440071106,3.8439993858337402
0.2,40.0,5000.0,0.25,0.929419755935669,5.5679967403411865
0.2,40.0,5000.0,0.5,0.9226332306861877,4.5350000858306885
0.2,40.0,7500.0,0.25,0.9280624389648438,5.745000839233398
0.2,40.0,7500.0,0.5,0.9216152429580688,4.735030889511108
0.2,40.0,10000.0,0.25,0.9273837804794312,5.9679951667785645
0.2,40.0,10000.0,0.5,0.9216152429580688,5.095010995864868
0.2,60.0,5000.0,0.25,0.9256871342658997,6.539968252182007
0.2,60.0,5000.0,0.5,0.9280624389648438,5.6779539585113525
0.2,60.0,7500.0,0.25,0.9321343898773193,6.858991861343384
0.2,60.0,7500.0,0.5,0.9273837804794312,6.042996883392334
0.2,60.0,10000.0,0.25,0.9348490238189697,7.345022916793823
0.2,60.0,10000.0,0.5,0.9239904880523682,6.563033580780029
0.3,20.0,5000.0,0.25,0.9148286581039429,4.47203516960144
0.3,20.0,5000.0,0.5,0.9087207317352295,3.4389853477478027
0.3,20.0,7500.0,0.25,0.9189006090164185,4.842018127441406
0.3,20.0,7500.0,0.5,0.9127926826477051,3.8150012493133545
0.3,20.0,10000.0,0.25,0.9209365844726562,4.772033214569092
0.3,20.0,10000.0,0.5,0.9110960364341736,3.884033679962158
0.3,40.0,5000.0,0.25,0.9243298172950745,5.638963222503662
0.3,40.0,5000.0,0.5,0.9178826212882996,4.463950157165527
0.3,40.0,7500.0,0.25,0.9300984144210815,5.72502875328064
0.3,40.0,7500.0,0.5,0.9222939014434814,5.172986268997192
0.3,40.0,10000.0,0.25,0.92840176820755,6.132032632827759
0.3,40.0,10000.0,0.5,0.9233118891716003,5.039001703262329
0.3,60.0,5000.0,0.25,0.9334917068481445,6.544992685317993
0.3,60.0,5000.0,0.5,0.9239904880523682,5.532987356185913
0.3,60.0,7500.0,0.25,0.9297590851783752,6.8140387535095215
0.3,60.0,7500.0,0.5,0.926026463508606,5.9769980907440186
0.3,60.0,10000.0,0.25,0.931795060634613,7.2879798412323
0.3,60.0,10000.0,0.5,0.9256871342658997,6.40700101852417
0.4,20.0,5000.0,0.25,0.9226332306861877,4.22799825668335
0.4,20.0,5000.0,0.5,0.9121140241622925,3.4579970836639404
0.4,20.0,7500.0,0.25,0.9151679873466492,4.615004539489746
0.4,20.0,7500.0,0.5,0.9029521942138672,3.6050357818603516
0.4,20.0,10000.0,0.25,0.9182219505310059,4.761030912399292
0.4,20.0,10000.0,0.5,0.9083814024925232,3.854034423828125
0.4,40.0,5000.0,0.25,0.9311164021492004,5.484035968780518
0.4,40.0,5000.0,0.5,0.9185612797737122,4.679003000259399
0.4,40.0,7500.0,0.25,0.9250084757804871,5.79603910446167
0.4,40.0,7500.0,0.5,0.9209365844726562,4.897005558013916
0.4,40.0,10000.0,0.25,0.9307770729064941,6.137010335922241
0.4,40.0,10000.0,0.5,0.9202579259872437,5.1399924755096436
0.4,60.0,5000.0,0.25,0.9297590851783752,6.774990081787109
0.4,60.0,5000.0,0.5,0.9270444512367249,6.204016447067261
0.4,60.0,7500.0,0.25,0.9311164021492004,6.902998924255371
0.4,60.0,7500.0,0.5,0.9233118891716003,6.022021532058716
0.4,60.0,10000.0,0.25,0.9365456700325012,7.087031841278076
0.4,60.0,10000.0,0.5,0.9263657927513123,6.252962589263916
0.5,20.0,5000.0,0.25,0.9209365844726562,4.273039817810059
0.5,20.0,5000.0,0.5,0.9155073165893555,3.4530062675476074
0.5,20.0,7500.0,0.25,0.9219545722007751,4.452033519744873
0.5,20.0,7500.0,0.5,0.9151679873466492,3.496004581451416
0.5,20.0,10000.0,0.25,0.9168646335601807,4.619021654129028
0.5,20.0,10000.0,0.5,0.9097387194633484,3.77599835395813
0.5,40.0,5000.0,0.25,0.926026463508606,5.341001749038696
0.5,40.0,5000.0,0.5,0.9189006090164185,4.393024921417236
0.5,40.0,7500.0,0.25,0.9267051219940186,5.541007041931152
0.5,40.0,7500.0,0.5,0.9256871342658997,4.628034830093384
0.5,40.0,10000.0,0.25,0.9287410974502563,5.71899938583374
0.5,40.0,10000.0,0.5,0.919579267501831,4.945041179656982
0.5,60.0,5000.0,0.25,0.9368849992752075,6.5549657344818115
0.5,60.0,5000.0,0.5,0.9253478050231934,5.608030080795288
0.5,60.0,7500.0,0.25,0.9362063407897949,7.00998067855835
0.5,60.0,7500.0,0.5,0.9314557313919067,5.905022859573364
0.5,60.0,10000.0,0.25,0.9331523776054382,7.2100160121917725
0.5,60.0,10000.0,0.5,0.9277231097221375,6.290034770965576
